"Substance name","Description","EC No.","CAS No.","Reason for inclusion","Date of inclusion","IUCLID dataset","Remarks"
"rel-(1R,4S,4aS,6aS,7S,10R,10aR,12aR)-1,2,3,4,7,8,9,10,13,13,14,14-dodecachloro-1,4,4a,5,6,6a,7,10,10a,11,12,12a-dodecahydro-1,4:7,10-dimethanodibenzo[a,e]cyclooctene","","-","-","vPvB (Article 57e)","15-Jan-2018","https://echa.europa.eu/documents/10162/78fb98fd-a8e7-31a3-f910-f2bad587d8a6",""
"Perfluorohexane-1-sulphonic acid and its salts","PFHxS","-","-","vPvB (Article 57e)","07-Jul-2017","https://echa.europa.eu/documents/10162/a118329d-6a4f-f820-bbc0-94c640c0a9fa",""
"potassium perfluorohexane-1-sulphonate","","223-393-2","3871-99-6","vPvB (Article 57e)","07-Jul-2017","https://echa.europa.eu/documents/10162/a118329d-6a4f-f820-bbc0-94c640c0a9fa",""
"ammonium perfluorohexane-1-sulphonate","","269-511-6","68259-08-5","vPvB (Article 57e)","07-Jul-2017","https://echa.europa.eu/documents/10162/a118329d-6a4f-f820-bbc0-94c640c0a9fa",""
"tridecafluorohexanesulphonic acid, compound with 2,2'-iminodiethanol (1:1)","","274-462-9","70225-16-0","vPvB (Article 57e)","07-Jul-2017","https://echa.europa.eu/documents/10162/a118329d-6a4f-f820-bbc0-94c640c0a9fa",""
"perfluorohexane-1-sulphonic acid","","206-587-1","355-46-4","vPvB (Article 57e)","07-Jul-2017","https://echa.europa.eu/documents/10162/a118329d-6a4f-f820-bbc0-94c640c0a9fa",""
"Sulfonium, [4-[(2-methyl-1-oxo-2-propenyl)oxy]phenyl]diphenyl-, salt with 1,1,2,2,3,3,4,4,5,5,6,6,6-tridecafluoro-1-hexanesulfonic acid (1:1), polymer with 2-ethyltricyclo[3.3.1.13,7]dec-2-yl 2-methyl-2-propenoate, 3-hydroxytricyclo[3.3.1.13,7]dec-1-yl 2-methyl-2-propenoate and tetrahydro-2-oxo-3-furanyl 2-methyl-2-propenoate","","-","911027-69-5","vPvB (Article 57e)","07-Jul-2017","https://echa.europa.eu/documents/10162/a118329d-6a4f-f820-bbc0-94c640c0a9fa",""
"1-Hexanesulfonic acid, 1,1,2,2,3,3,4,4,5,5,6,6,6-tridecafluoro-, cesium salt (1:1)","","-","92011-17-1","vPvB (Article 57e)","07-Jul-2017","https://echa.europa.eu/documents/10162/a118329d-6a4f-f820-bbc0-94c640c0a9fa",""
"Dibenzo[k,n][1,4,7,10,13]tetraoxathiacyclopentadecinium, 19-[4-(1,1-dimethylethyl)phenyl]-6,7,9,10,12,13-hexahydro-, 1,1,2,2,3,3,4,4,5,5,6,6,6-tridecafluoro-1-hexanesulfonate (1:1)","","-","928049-42-7","vPvB (Article 57e)","07-Jul-2017","https://echa.europa.eu/documents/10162/a118329d-6a4f-f820-bbc0-94c640c0a9fa",""
"1-Hexanesulfonic acid, 1,1,2,2,3,3,4,4,5,5,6,6,6-tridecafluoro-, lithium salt (1:1)","","-","55120-77-9","vPvB (Article 57e)","07-Jul-2017","https://echa.europa.eu/documents/10162/a118329d-6a4f-f820-bbc0-94c640c0a9fa",""
"Quinolinium, 1-(carboxymethyl)-4-[2-[4-[4-(2,2-diphenylethenyl)phenyl]-1,2,3,3a,4,8b-hexahydrocyclopent[b]indol-7-yl]ethenyl]-, 1,1,2,2,3,3,4,4,5,5,6,6,6-tridecafluoro-1-hexanesulfonate (1:1)","","-","1462414-59-0","vPvB (Article 57e)","07-Jul-2017","https://echa.europa.eu/documents/10162/a118329d-6a4f-f820-bbc0-94c640c0a9fa",""
"Iodonium, diphenyl-, 1,1,2,2,3,3,4,4,5,5,6,6,6-tridecafluoro-1-hexanesulfonate (1:1)","","-","153443-35-7","vPvB (Article 57e)","07-Jul-2017","https://echa.europa.eu/documents/10162/a118329d-6a4f-f820-bbc0-94c640c0a9fa",""
"Methanaminium, N,N,N-trimethyl-, salt with 1,1,2,2,3,3,4,4,5,5,6,6,6-tridecafluoro-1-hexanesulfonic acid (1:1)","","-","189274-31-5","vPvB (Article 57e)","07-Jul-2017","https://echa.europa.eu/documents/10162/a118329d-6a4f-f820-bbc0-94c640c0a9fa",""
"1-Hexanesulfonic acid, 1,1,2,2,3,3,4,4,5,5,6,6,6-tridecafluoro-, compd.with 2-methyl-2-propanamine (1:1)","","-","202189-84-2","vPvB (Article 57e)","07-Jul-2017","https://echa.europa.eu/documents/10162/a118329d-6a4f-f820-bbc0-94c640c0a9fa",""
"Iodonium, bis[4-(1,1-dimethylethyl)phenyl]-, 1,1,2,2,3,3,4,4,5,5,6,6,6-tridecafluoro-1-hexanesulfonate (1:1)","","-","213740-81-9","vPvB (Article 57e)","07-Jul-2017","https://echa.europa.eu/documents/10162/a118329d-6a4f-f820-bbc0-94c640c0a9fa",""
"1-Hexanesulfonic acid, 1,1,2,2,3,3,4,4,5,5,6,6,6-tridecafluoro-, gallium salt (9CI)","","-","341035-71-0","vPvB (Article 57e)","07-Jul-2017","https://echa.europa.eu/documents/10162/a118329d-6a4f-f820-bbc0-94c640c0a9fa",""
"Sulfonium, bis(4-methylphenyl)phenyl-, 1,1,2,2,3,3,4,4,5,5,6,6,6-tridecafluoro-1-hexanesulfonate (1:1)","","-","341548-85-4","vPvB (Article 57e)","07-Jul-2017","https://echa.europa.eu/documents/10162/a118329d-6a4f-f820-bbc0-94c640c0a9fa",""
"1-Hexanesulfonic acid, 1,1,2,2,3,3,4,4,5,5,6,6,6-tridecafluoro-, scandium(3+) salt (3:1)","","-","350836-93-0","vPvB (Article 57e)","07-Jul-2017","https://echa.europa.eu/documents/10162/a118329d-6a4f-f820-bbc0-94c640c0a9fa",""
"1-Hexanesulfonic acid, 1,1,2,2,3,3,4,4,5,5,6,6,6-tridecafluoro-, zinc salt","","-","70136-72-0","vPvB (Article 57e)","07-Jul-2017","https://echa.europa.eu/documents/10162/a118329d-6a4f-f820-bbc0-94c640c0a9fa",""
"1-Hexanesulfonic acid, 1,1,2,2,3,3,4,4,5,5,6,6,6-tridecafluoro-, neodymium(3+) salt (3:1)","","-","41184-65-0","vPvB (Article 57e)","07-Jul-2017","https://echa.europa.eu/documents/10162/a118329d-6a4f-f820-bbc0-94c640c0a9fa",""
"1-Hexanesulfonic acid, 1,1,2,2,3,3,4,4,5,5,6,6,6-tridecafluoro-, yttrium(3+) salt (3:1)","","-","41242-12-0","vPvB (Article 57e)","07-Jul-2017","https://echa.europa.eu/documents/10162/a118329d-6a4f-f820-bbc0-94c640c0a9fa",""
"Sulfonium, (thiodi-4,1-phenylene)bis[diphenyl-, salt with 1,1,2,2,3,3,4,4,5,5,6,6,6-tridecafluoro-1-hexanesulfonic acid (1:2)","","-","421555-73-9","vPvB (Article 57e)","07-Jul-2017","https://echa.europa.eu/documents/10162/a118329d-6a4f-f820-bbc0-94c640c0a9fa",""
"Iodonium, bis[4-(1,1-dimethylpropyl)phenyl]-, salt with 1,1,2,2,3,3,4,4,5,5,6,6,6-tridecafluoro-1-hexanesulfonic","","-","421555-74-0","vPvB (Article 57e)","07-Jul-2017","https://echa.europa.eu/documents/10162/a118329d-6a4f-f820-bbc0-94c640c0a9fa",""
"Sulfonium, tris[4-(1,1-dimethylethyl)phenyl]-, 1,1,2,2,3,3,4,4,5,5,6,6,6-tridecafluoro-1-hexanesulfonate (1:1)","","-","425670-70-8","vPvB (Article 57e)","07-Jul-2017","https://echa.europa.eu/documents/10162/a118329d-6a4f-f820-bbc0-94c640c0a9fa",""
"Phosphonium, triphenyl(phenylmethyl)-, 1,1,2,2,3,3,4,4,5,5,6,6,6-tridecafluoro-1-hexanesulfonate (1:1)","","-","1000597-52-3","vPvB (Article 57e)","07-Jul-2017","https://echa.europa.eu/documents/10162/a118329d-6a4f-f820-bbc0-94c640c0a9fa",""
"N,N,N-tributylbutan-1-aminium tridecafluorohexane-1-sulfonate","","-","108427-54-9","vPvB (Article 57e)","07-Jul-2017","https://echa.europa.eu/documents/10162/a118329d-6a4f-f820-bbc0-94c640c0a9fa",""
"N,N,N-triethylethanaminium tridecafluorohexane-1-sulfonate","","-","108427-55-0","vPvB (Article 57e)","07-Jul-2017","https://echa.europa.eu/documents/10162/a118329d-6a4f-f820-bbc0-94c640c0a9fa",""
"1-Hexanesulfonic acid, 1,1,2,2,3,3,4,4,5,5,6,6,6-tridecafluoro-, compd. With pyrrolidine (1:1)","","-","1187817-57-7","vPvB (Article 57e)","07-Jul-2017","https://echa.europa.eu/documents/10162/a118329d-6a4f-f820-bbc0-94c640c0a9fa",""
"Ethanaminium, N-[4-[[4-(diethylamino)phenyl][4-(ethylamino)-1-naphthalenyl]methylene]-2,5-cyclohexadien-1-ylidene]-N-ethyl-, 1,1,2,2,3,3,4,4,5,5,6,6,6-tridecafluoro-1-hexanesulfonate (1:1)","","-","1310480-24-0","vPvB (Article 57e)","07-Jul-2017","https://echa.europa.eu/documents/10162/a118329d-6a4f-f820-bbc0-94c640c0a9fa",""
"Methanaminium, N-[4-[[4-(dimethylamino)phenyl][4-(ethylamino)-1-naphthalenyl]methylene]-2,5-cyclohexadien-1-ylidene]-N-methyl-, 1,1,2,2,3,3,4,4,5,5,6,6,6-tridecafluoro-1-hexanesulfonate (1:1)","","-","1310480-27-3","vPvB (Article 57e)","07-Jul-2017","https://echa.europa.eu/documents/10162/a118329d-6a4f-f820-bbc0-94c640c0a9fa",""
"Methanaminium, N-[4-[[4-(dimethylamino)phenyl][4-(phenylamino)-1-naphthalenyl]methylene]-2,5-cyclohexadien-1-ylidene]-N-methyl-, 1,1,2,2,3,3,4,4,5,5,6,6,6-tridecafluoro-1-hexanesulfonate (1:1)","","-","1310480-28-4","vPvB (Article 57e)","07-Jul-2017","https://echa.europa.eu/documents/10162/a118329d-6a4f-f820-bbc0-94c640c0a9fa",""
"Beta-Cyclodextrin, compd. with 1,1,2,2,3,3,4,4,5,5,6,6,6-tridecafluoro-1-hexanesulfonic acid ion(1-)(1:1)","","-","1329995-45-0","vPvB (Article 57e)","07-Jul-2017","https://echa.europa.eu/documents/10162/a118329d-6a4f-f820-bbc0-94c640c0a9fa",""
"Gamma-Cyclodextrin, compd. with 1,1,2,2,3,3,4,4,5,5,6,6,6-tridecafluoro-1-hexanesulfonic acid ion(1-)(1:1)","","-","1329995-69-8","vPvB (Article 57e)","07-Jul-2017","https://echa.europa.eu/documents/10162/a118329d-6a4f-f820-bbc0-94c640c0a9fa",""
"Sulfonium, triphenyl-, 1,1,2,2,3,3,4,4,5,5,6,6,6-tridecafluoro-1-hexanesulfonate (1:1)","","-","144116-10-9","vPvB (Article 57e)","07-Jul-2017","https://echa.europa.eu/documents/10162/a118329d-6a4f-f820-bbc0-94c640c0a9fa",""
"Sulfonium, [4-[(2-methyl-1-oxo-2-propen-1-yl)oxy]phenyl]diphenyl-, 1,1,2,2,3,3,4,4,5,5,6,6,6-tridecafluoro-1-hexanesulfonate (1:1)","","-","911027-68-4","vPvB (Article 57e)","07-Jul-2017","https://echa.europa.eu/documents/10162/a118329d-6a4f-f820-bbc0-94c640c0a9fa",""
"Sulfonium, (4-methylphenyl)diphenyl-, 1,1,2,2,3,3,4,4,5,5,6,6,6-tridecafluoro-1-hexanesulfonate (1:1)","","-","910606-39-2","vPvB (Article 57e)","07-Jul-2017","https://echa.europa.eu/documents/10162/a118329d-6a4f-f820-bbc0-94c640c0a9fa",""
"Iodonium, bis[(1,1-dimethylethyl)phenyl]-, salt with 1,1,2,2,3,3,4,4,5,5,6,6,6-tridecafluoro-1-hexanesulfonic acid (1:1) (9CI)","","-","866621-50-3","vPvB (Article 57e)","07-Jul-2017","https://echa.europa.eu/documents/10162/a118329d-6a4f-f820-bbc0-94c640c0a9fa",""
"1-Hexanesulfonic acid, 1,1,2,2,3,3,4,4,5,5,6,6,6-tridecafluoro-, compd. with N,N-diethylethanamine (1:1)","","-","72033-41-1","vPvB (Article 57e)","07-Jul-2017","https://echa.europa.eu/documents/10162/a118329d-6a4f-f820-bbc0-94c640c0a9fa",""
"1-Hexanesulfonic acid, 1,1,2,2,3,3,4,4,5,5,6,6,6-tridecafluoro-, sodium salt","","-","82382-12-5","vPvB (Article 57e)","07-Jul-2017","https://echa.europa.eu/documents/10162/a118329d-6a4f-f820-bbc0-94c640c0a9fa",""
"p-(1,1-dimethylpropyl)phenol","","201-280-9","80-46-6","Endocrine disrupting properties (Article 57(f) - environment)","12-Jan-2017","https://echa.europa.eu/documents/10162/c6fa630c-af6f-0df1-8f5d-ec0b890e58a3",""
"Nonadecafluorodecanoic acid (PFDA) and its sodium and ammonium salts","","-","-","Toxic for reproduction (Article 57c)""""PBT (Article 57d)","12-Jan-2017","https://echa.europa.eu/documents/10162/a1000164-695a-311d-3eb0-71c09e92dc84",""
"sodium nonadecafluorodecanoate","","-","3830-45-3","Toxic for reproduction (Article 57c)""""PBT (Article 57d)","12-Jan-2017","https://echa.europa.eu/documents/10162/a1000164-695a-311d-3eb0-71c09e92dc84",""
"Ammonium nonadecafluorodecanoate","","221-470-5","3108-42-7","Toxic for reproduction (Article 57c)""""PBT (Article 57d)","12-Jan-2017","https://echa.europa.eu/documents/10162/a1000164-695a-311d-3eb0-71c09e92dc84",""
"Nonadecafluorodecanoic acid","","206-400-3","335-76-2","Toxic for reproduction (Article 57c)""""PBT (Article 57d)","12-Jan-2017","https://echa.europa.eu/documents/10162/a1000164-695a-311d-3eb0-71c09e92dc84",""
"4-heptylphenol, branched and linear","substances with a linear and/or branched alkyl chain with a carbon number of 7 covalently bound predominantly in position 4 to phenol, covering also UVCB- and well-defined substances which include any of the individual isomers or a combination thereof","-","-","Endocrine disrupting properties (Article 57(f) - environment)","12-Jan-2017","https://echa.europa.eu/documents/10162/32f515fd-4785-d96a-5394-ace770b72b97",""
"4-heptylphenol","","217-862-0","1987-50-4","Endocrine disrupting properties (Article 57(f) - environment)","12-Jan-2017","https://echa.europa.eu/documents/10162/32f515fd-4785-d96a-5394-ace770b72b97",""
"Phenol, heptyl derivs.","","276-743-1","72624-02-3","Endocrine disrupting properties (Article 57(f) - environment)","12-Jan-2017","https://echa.europa.eu/documents/10162/32f515fd-4785-d96a-5394-ace770b72b97",""
"4-(3-ethylpentan-3-yl)phenol","","-","37872-24-5","Endocrine disrupting properties (Article 57(f) - environment)","12-Jan-2017","https://echa.europa.eu/documents/10162/32f515fd-4785-d96a-5394-ace770b72b97",""
"4-(2-methylhexan-2-yl)phenol","","-","30784-31-7","Endocrine disrupting properties (Article 57(f) - environment)","12-Jan-2017","https://echa.europa.eu/documents/10162/32f515fd-4785-d96a-5394-ace770b72b97",""
"4-(3,3-dimethylpentan-2-yl)phenol","","-","911371-06-7","Endocrine disrupting properties (Article 57(f) - environment)","12-Jan-2017","https://echa.europa.eu/documents/10162/32f515fd-4785-d96a-5394-ace770b72b97",""
"4-(3-methylhexan-2-yl)phenol","","-","854904-93-1","Endocrine disrupting properties (Article 57(f) - environment)","12-Jan-2017","https://echa.europa.eu/documents/10162/32f515fd-4785-d96a-5394-ace770b72b97",""
"4-(4,4-dimethylpentan-2-yl)phenol","","-","911371-07-8","Endocrine disrupting properties (Article 57(f) - environment)","12-Jan-2017","https://echa.europa.eu/documents/10162/32f515fd-4785-d96a-5394-ace770b72b97",""
"4-(4-methylhexan-2-yl)phenol","","-","71945-81-8","Endocrine disrupting properties (Article 57(f) - environment)","12-Jan-2017","https://echa.europa.eu/documents/10162/32f515fd-4785-d96a-5394-ace770b72b97",""
"4-(5-methylhexan-2-yl)phenol","","-","857629-71-1","Endocrine disrupting properties (Article 57(f) - environment)","12-Jan-2017","https://echa.europa.eu/documents/10162/32f515fd-4785-d96a-5394-ace770b72b97",""
"4-(2,2-dimethylpentan-3-yl)phenol","","-","861010-65-3","Endocrine disrupting properties (Article 57(f) - environment)","12-Jan-2017","https://echa.europa.eu/documents/10162/32f515fd-4785-d96a-5394-ace770b72b97",""
"4-(5-methylhexan-3-yl)phenol","","-","854904-92-0","Endocrine disrupting properties (Article 57(f) - environment)","12-Jan-2017","https://echa.europa.eu/documents/10162/32f515fd-4785-d96a-5394-ace770b72b97",""
"4-(heptan-3-yl)phenol","","-","6465-74-3","Endocrine disrupting properties (Article 57(f) - environment)","12-Jan-2017","https://echa.europa.eu/documents/10162/32f515fd-4785-d96a-5394-ace770b72b97",""
"4-(heptan-2-yl)phenol","","-","6863-24-7","Endocrine disrupting properties (Article 57(f) - environment)","12-Jan-2017","https://echa.europa.eu/documents/10162/32f515fd-4785-d96a-5394-ace770b72b97",""
"4-(heptan-4-yl)phenol","","-","6465-71-0","Endocrine disrupting properties (Article 57(f) - environment)","12-Jan-2017","https://echa.europa.eu/documents/10162/32f515fd-4785-d96a-5394-ace770b72b97",""
"4-(3-ethylpentyl)phenol","","-","911370-98-4","Endocrine disrupting properties (Article 57(f) - environment)","12-Jan-2017","https://echa.europa.eu/documents/10162/32f515fd-4785-d96a-5394-ace770b72b97",""
"4-(3-methylhexyl)phenol","","-","102570-52-5","Endocrine disrupting properties (Article 57(f) - environment)","12-Jan-2017","https://echa.europa.eu/documents/10162/32f515fd-4785-d96a-5394-ace770b72b97",""
"4-(4-methylhexyl)phenol","","-","1139800-98-8","Endocrine disrupting properties (Article 57(f) - environment)","12-Jan-2017","https://echa.europa.eu/documents/10162/32f515fd-4785-d96a-5394-ace770b72b97",""
"4-(5-methylhexyl)phenol","","-","100532-36-3","Endocrine disrupting properties (Article 57(f) - environment)","12-Jan-2017","https://echa.europa.eu/documents/10162/32f515fd-4785-d96a-5394-ace770b72b97",""
"4-(2,4-dimethylpentan-3-yl)phenol","","-","1824346-00-0","Endocrine disrupting properties (Article 57(f) - environment)","12-Jan-2017","https://echa.europa.eu/documents/10162/32f515fd-4785-d96a-5394-ace770b72b97",""
"Phenol, 4-tert-heptyl-","","-","288864-02-8","Endocrine disrupting properties (Article 57(f) - environment)","12-Jan-2017","https://echa.europa.eu/documents/10162/32f515fd-4785-d96a-5394-ace770b72b97",""
"Phenol, 4-(1-ethyl-1,2-dimethylpropyl)-","","-","30784-27-1","Endocrine disrupting properties (Article 57(f) - environment)","12-Jan-2017","https://echa.europa.eu/documents/10162/32f515fd-4785-d96a-5394-ace770b72b97",""
"4-(2,3-dimethylpentan-2-yl)phenol","","-","861011-60-1","Endocrine disrupting properties (Article 57(f) - environment)","12-Jan-2017","https://echa.europa.eu/documents/10162/32f515fd-4785-d96a-5394-ace770b72b97",""
"4-(2,4-dimethylpentan-2-yl)phenol","","-","33104-11-9","Endocrine disrupting properties (Article 57(f) - environment)","12-Jan-2017","https://echa.europa.eu/documents/10162/32f515fd-4785-d96a-5394-ace770b72b97",""
"4-(3-methylhexan-3-yl)phenol","","-","30784-32-8","Endocrine disrupting properties (Article 57(f) - environment)","12-Jan-2017","https://echa.europa.eu/documents/10162/32f515fd-4785-d96a-5394-ace770b72b97",""
"4-(2,3,3-trimethylbutan-2-yl)phenol","","-","72861-06-4","Endocrine disrupting properties (Article 57(f) - environment)","12-Jan-2017","https://echa.europa.eu/documents/10162/32f515fd-4785-d96a-5394-ace770b72b97",""
"4,4'-isopropylidenediphenol","Bisphenol A; BPA","201-245-8","80-05-7","Toxic for reproduction (Article 57c)""""Endocrine disrupting properties (Article 57(f) - environment)""""Endocrine disrupting properties (Article 57(f) - human health)","12-Jan-2017","https://echa.europa.eu/documents/10162/a6dc6937-ccec-1024-8282-8304a76549fa",""
"Benzo[def]chrysene (Benzo[a]pyrene)","","200-028-5","50-32-8","Carcinogenic (Article 57a)""""Mutagenic (Article 57b)""""Toxic for reproduction (Article 57c)""""PBT (Article 57d)""""vPvB (Article 57e)","20-Jun-2016","https://echa.europa.eu/documents/10162/75ad6d26-78d9-4903-b06a-cf69953713dc",""
"Perfluorononan-1-oic-acid and its sodium and ammonium salts","","-","-","Toxic for reproduction (Article 57c)""""PBT (Article 57d)","17-Dec-2015","https://echa.europa.eu/documents/10162/2aa67f6e-621e-4337-84aa-076f0de11f4e",""
"ammonium heptadecafluorononanoate","","-","4149-60-4","Toxic for reproduction (Article 57c)""""PBT (Article 57d)","17-Dec-2015","https://echa.europa.eu/documents/10162/2aa67f6e-621e-4337-84aa-076f0de11f4e",""
"Perfluorononan-1-oic-acid","","206-801-3","375-95-1","Toxic for reproduction (Article 57c)""""PBT (Article 57d)","17-Dec-2015","https://echa.europa.eu/documents/10162/2aa67f6e-621e-4337-84aa-076f0de11f4e",""
"sodium heptadecafluorononanoate","","-","21049-39-8","Toxic for reproduction (Article 57c)""""PBT (Article 57d)","17-Dec-2015","https://echa.europa.eu/documents/10162/2aa67f6e-621e-4337-84aa-076f0de11f4e",""
"Nitrobenzene","","202-716-0","98-95-3","Toxic for reproduction (Article 57c)","17-Dec-2015","https://echa.europa.eu/documents/10162/d51c9722-aed2-47a0-8356-831db2066b0a",""
"2-(2H-benzotriazol-2-yl)-4-(tert-butyl)-6-(sec-butyl)phenol (UV-350)","","253-037-1","36437-37-3","vPvB (Article 57e)","17-Dec-2015","https://echa.europa.eu/documents/10162/2721734c-c482-493b-82e8-3b4d131a6507",""
"2,4-di-tert-butyl-6-(5-chlorobenzotriazol-2-yl)phenol (UV-327)","","223-383-8","3864-99-1","vPvB (Article 57e)","17-Dec-2015","https://echa.europa.eu/documents/10162/b9c11f35-3120-4aa0-abec-d80c9aeb3786",""
"1,3-propanesultone","","214-317-9","1120-71-4","Carcinogenic (Article 57a)","17-Dec-2015","https://echa.europa.eu/documents/10162/ab2bd960-50e9-44b4-a02d-4a3c9a622bdc",""
"5-sec-butyl-2-(2,4-dimethylcyclohex-3-en-1-yl)-5-methyl-1,3-dioxane [1], 5-sec-butyl-2-(4,6-dimethylcyclohex-3-en-1-yl)-5-methyl-1,3-dioxane [2]","covering any of the individual stereoisomers of [1] and [2] or any combination thereof","-","-","vPvB (Article 57e)","15-Jun-2015","https://echa.europa.eu/documents/10162/c87c2930-58af-20dd-8394-afcd0d96ee3f",""
"Reaction mass of 5-[(2R)-butan-2-yl]-2-[(1R,2R)-2,4-dimethylcyclohex-3-en-1-yl]-5-methyl-1,3-dioxane and 5-[(2R)-butan-2-yl]-2-[(1R,6R)-4,6-dimethylcyclohex-3-en-1-yl]-5-methyl-1,3-dioxane and 5-[(2S)-butan-2-yl]-2-[(1R,2R)-2,4-dimethylcyclohex-3-en-1-yl]-5-methyl-1,3-dioxane and 5-[(2S)-butan-2-yl]-2-[(1S,2R)-2,4-dimethylcyclohex-3-en-1-yl]-5-methyl-1,3-dioxane and 5-[(2S)-butan-2-yl]-2-[(1S,6R)-4,6-dimethylcyclohex-3-en-1-yl]-5-methyl-1,3-dioxane","","-","-","vPvB (Article 57e)","15-Jun-2015","https://echa.europa.eu/documents/10162/c87c2930-58af-20dd-8394-afcd0d96ee3f",""
"1,3-Dioxane, 2-(2,4-dimethyl-3-cyclohexen-1-yl)-5-methyl-5-(1-methylpropyl)-","","-","117933-89-8","vPvB (Article 57e)","15-Jun-2015","https://echa.europa.eu/documents/10162/c87c2930-58af-20dd-8394-afcd0d96ee3f",""
"5-sec-butyl-2-(4,6-dimethylcyclohex-3-en-1-yl)-5-methyl-1,3-dioxane","","-","-","vPvB (Article 57e)","15-Jun-2015","https://echa.europa.eu/documents/10162/c87c2930-58af-20dd-8394-afcd0d96ee3f",""
"1,3-Dioxane, 2-[(1R,2R)-2,4-dimethyl-3-cyclohexen-1-yl]-5-methyl-5-(1-methylpropyl)-, cis-","","-","676367-05-8","vPvB (Article 57e)","15-Jun-2015","https://echa.europa.eu/documents/10162/c87c2930-58af-20dd-8394-afcd0d96ee3f",""
"1,3-Dioxane, 2-[(1R,2R)-2,4-dimethyl-3-cyclohexen-1-yl]-5-methyl-5-(1-methylpropyl)-, cis-rel-","","-","343934-04-3","vPvB (Article 57e)","15-Jun-2015","https://echa.europa.eu/documents/10162/c87c2930-58af-20dd-8394-afcd0d96ee3f",""
"1,3-Dioxane, 2-[(1R,2R)-2,4-dimethyl-3-cyclohexen-1-yl]-5-methyl-5-(1-methylpropyl)-, trans-","","-","676367-09-2","vPvB (Article 57e)","15-Jun-2015","https://echa.europa.eu/documents/10162/c87c2930-58af-20dd-8394-afcd0d96ee3f",""
"1,3-Dioxane, 2-[(1R,2R)-2,4-dimethyl-3-cyclohexen-1-yl]-5-methyl-5-(1-methylpropyl)-, trans-rel-","","-","343934-05-4","vPvB (Article 57e)","15-Jun-2015","https://echa.europa.eu/documents/10162/c87c2930-58af-20dd-8394-afcd0d96ee3f",""
"1,3-Dioxane, 2-[(1R,2S)-2,4-dimethyl-3-cyclohexen-1-yl]-5-methyl-5-(1-methylpropyl)-, cis-","","-","676367-04-7","vPvB (Article 57e)","15-Jun-2015","https://echa.europa.eu/documents/10162/c87c2930-58af-20dd-8394-afcd0d96ee3f",""
"1,3-Dioxane, 2-[(1R,2S)-2,4-dimethyl-3-cyclohexen-1-yl]-5-methyl-5-(1-methylpropyl)-, trans-","","-","676367-08-1","vPvB (Article 57e)","15-Jun-2015","https://echa.europa.eu/documents/10162/c87c2930-58af-20dd-8394-afcd0d96ee3f",""
"1,3-Dioxane, 2-[(1S,2R)-2,4-dimethyl-3-cyclohexen-1-yl]-5-methyl-5-(1-methylpropyl)-, cis-","","-","676367-03-6","vPvB (Article 57e)","15-Jun-2015","https://echa.europa.eu/documents/10162/c87c2930-58af-20dd-8394-afcd0d96ee3f",""
"1,3-Dioxane, 2-[(1S,2R)-2,4-dimethyl-3-cyclohexen-1-yl]-5-methyl-5-(1-methylpropyl)-, trans-","","-","676367-07-0","vPvB (Article 57e)","15-Jun-2015","https://echa.europa.eu/documents/10162/c87c2930-58af-20dd-8394-afcd0d96ee3f",""
"1,3-Dioxane, 2-[(1S,2S)-2,4-dimethyl-3-cyclohexen-1-yl]-5-methyl-5-(1-methylpropyl)-, cis-","","-","676367-02-5","vPvB (Article 57e)","15-Jun-2015","https://echa.europa.eu/documents/10162/c87c2930-58af-20dd-8394-afcd0d96ee3f",""
"1,3-Dioxane, 2-[(1S,2S)-2,4-dimethyl-3-cyclohexen-1-yl]-5-methyl-5-(1-methylpropyl)-, trans-","","-","676367-06-9","vPvB (Article 57e)","15-Jun-2015","https://echa.europa.eu/documents/10162/c87c2930-58af-20dd-8394-afcd0d96ee3f",""
"Reaction mass of 5-sec-butyl-2-(2,4-dimethylcyclohex-3-en-1-yl)-5-methyl-1,3-dioxane and 5-sec-butyl-2-(4,6-dimethylcyclohex-3-en-1-yl)-5-methyl-1,3-dioxane","","413-720-9","-","vPvB (Article 57e)","15-Jun-2015","https://echa.europa.eu/documents/10162/c87c2930-58af-20dd-8394-afcd0d96ee3f",""
"5-sec-butyl-2-(2,4-dimethylcyclohex-3-en-1-yl)-5-methyl-1,3-dioxane","","-","-","vPvB (Article 57e)","15-Jun-2015","https://echa.europa.eu/documents/10162/c87c2930-58af-20dd-8394-afcd0d96ee3f",""
"1,2-benzenedicarboxylic acid, di-C6-10-alkyl esters or mixed decyl and hexyl and octyl diesters","with ≥ 0.3% of dihexyl phthalate (EC No. 201-559-5)","-","-","Toxic for reproduction (Article 57c)","15-Jun-2015","https://echa.europa.eu/documents/10162/0d1991c8-23cf-4779-9e08-b9208bd40338""""https://echa.europa.eu/documents/10162/f5495229-3f8c-4321-817c-dd498912310e",""
"1,2-Benzenedicarboxylic acid, mixed decyl and hexyl and octyl diesters","","272-013-1","68648-93-1","Toxic for reproduction (Article 57c)","15-Jun-2015","https://echa.europa.eu/documents/10162/0d1991c8-23cf-4779-9e08-b9208bd40338""""https://echa.europa.eu/documents/10162/f5495229-3f8c-4321-817c-dd498912310e",""
